Angehörige-ID,Nachname,Vorname,Straße + Hnr,PLZ,Wohnort,zugehöriger Patient,Patienten-Nr,Telefon,E-Mail,Beziehung zum Patienten,letzter Kontakt,Art des Kontaktes,Notizen,Rolle
A0001,Dowerg,Felicitas,Jolanta-Höfig-Platz 82,21819,Backnang,Hartmann Antje,P0115,+49(0)1338908386,tomschacht@example.com,Ehepartner,2025-05-12,Brief,Sohn dir ins.,Angehöriger
A0002,Förster,Karl-Hans,Vanessa-Wiek-Ring 32,16155,Bad Liebenwerda,Drubin Eckard,P0229,08161 849593,biengesche@example.org,Kind,2025-05-05,Telefon,Verstecken Vogel Herr Kind.,Angehöriger
A0003,Knappe,Marta,Pavel-Klapp-Platz 87,19283,Moers,Hendriks Melita,P0759,0483503056,celal39@example.net,Nachbar,2025-02-10,Telefon,Hinter Welt klettern Freude Finger Monate fressen.,Angehöriger
A0004,Lorch,Corinne,Klotzplatz 76,87101,Sebnitz,Stumpf Janus,P0433,+49 (0) 6916 697848,stiffelirmingard@example.org,Ehepartner,2025-04-18,Telefon,Singen sonst Glück gar dir Abend See.,Angehöriger
A0005,Hesse,Irmgard,Ana-Döring-Allee 12,89325,Plauen,Wulf Aysel,P0224,00957 01543,hendrikspolina@example.net,Kind,2025-06-06,E-Mail,Seite Tisch Zimmer man.,Angehöriger
A0006,Eckbauer,Fedor,Rognerplatz 78,89638,Warendorf,Striebitz Carolin,P0028,+49(0)6578 71331,amir98@example.org,Nachbar,2025-04-01,Besuch,Beispiel ohne fast.,Angehöriger
A0007,Beckmann,Saskia,Boucseinstr. 92,47382,Gifhorn,Löffler Erdogan,P0666,06311 656670,bolanderromuald@example.net,Geschwister,2025-02-15,E-Mail,Fisch einmal kein in.,Angehöriger
A0008,Misicher,Karl-Heinrich,Patrizia-Bruder-Straße 54,08013,Ludwigsburg,Hesse Meryem,P0226,07360 260647,sigmar87@example.org,Freund,2025-01-18,E-Mail,Zeigen Nacht mehr sind bauen.,Angehöriger
A0009,Müller,Corinna,Björn-Pechel-Gasse 36,19136,Ribnitz-Damgarten,Meister Elke,P0829,+49(0) 990916998,sylvia43@example.net,Ehepartner,2025-04-25,Besuch,Freude dauern plötzlich klein wie.,Angehöriger
A0010,Briemer,Sylwia,Vadim-Scholtz-Weg 90,18384,Iserlohn,Stumpf Janus,P0433,+49(0)3542 784980,swantje12@example.com,Enkel,2025-01-05,Brief,Sie die fährt erzählen.,Angehöriger
