Mitarbeiter-ID,Abteilung,Nachname,Vorname,Straße + Hnr,PLZ,Wohnort,Telefon,E-Mail,Rolle
M0001,Pflege,Dowerg,Felicitas,Jolanta-Höfig-Platz 4,21819,Backnang,+49(0)1338908386,tomschacht@example.com,Mitarbeiter
M0002,Medizinischer Dienst,Albers,Mara,Hilda-Löchel-Ring 32,23511,Bruchsal,05940781618,marit95@example.net,Mitarbeiter
M0003,Verwaltung,Tlustek,Hans-Jochen,Bartholomäus-Speer-Platz 18,13164,Sigmaringen,02553419283,vincentkramer@example.com,Mitarbeiter
M0004,Pflege,Schwital,Stephanie,Hedy-Junk-Gasse 87,05641,Reutlingen,03767242388,justine96@example.net,Mitarbeiter
M0005,Pflege,Klotz,Roderich,Frederik-Pechel-Straße 76,01226,Kusel,0978480184,engelbert46@example.org,Mitarbeiter
M0006,Hauswirtschaft,Adler,Udo,Ottoallee 5,81489,Döbeln,02880957015,igor03@example.net,Mitarbeiter
M0007,Pflege,Budig,Trude,Janina-Neureuther-Gasse 12,27824,Freudenstadt,03465 78713,carlokambs@example.org,Mitarbeiter
M0008,Verwaltung,Röhrdanz,Dagmar,Dajana-Hartmann-Gasse 30,03105,Osterburg,+49(0) 473829973,mladeck@example.org,Mitarbeiter
M0009,Pflege,Sorgatz,Dusan,Klappstraße 72,70106,Bützow,+49(0) 338726247,patriziabruder@example.com,Mitarbeiter
M0010,Verwaltung,Rogner,Mandy,Bernard-Siering-Weg 92,13267,Fulda,0026064746,mfoerster@example.com,Mitarbeiter
M0011,Hauswirtschaft,Bohlander,Heinz-Joachim,Karen-Johann-Gasse 29,97882,Olpe,+49(0)2191 361939,scholldarius@example.com,Mitarbeiter
M0012,Hauswirtschaft,Säuberlich,Gerta,Heßplatz 76,34624,Herford,+49(0)0799 118384,sybillekeudel@example.org,Mitarbeiter
M0013,Medizinischer Dienst,Henschel,Rabea,Hölzenbecherplatz 1,84980,Sternberg,+49(0)2411 824493,hansjuergen48@example.com,Mitarbeiter
M0014,Verwaltung,Birnbaum,Jan-Peter,Evelyn-Löchel-Ring 90,05242,Querfurt,0801128059,stefanoeckbauer@example.org,Mitarbeiter
M0015,Hauswirtschaft,Knappe,Leszek,Roswitha-Klemt-Platz 44,15869,Germersheim,+49 (0) 2602 563421,ebender@example.org,Mitarbeiter
M0016,Medizinischer Dienst,Mies,Hans-Walter,Jäkelallee 20,30365,Berlin,+49(0)5868 50142,arnim19@example.com,Mitarbeiter
M0017,Verwaltung,Vollbrecht,Murat,Mälzerstr. 98,69340,Aachen,08356 15951,amelie46@example.com,Mitarbeiter
M0018,Medizinischer Dienst,Textor,Romuald,Röhrdanzplatz 14,66299,Luckenwalde,00443 69957,rmargraf@example.org,Mitarbeiter
M0019,Pflege,Mühle,Angelica,Gertraude-Caspar-Ring 49,13433,Aue,+49(0)3791769367,jhenk@example.net,Mitarbeiter
M0020,Pflege,Adolph,Heiderose,Leyla-Löffler-Platz 46,87083,Miesbach,+49 (0) 7889 579868,vfreudenberger@example.com,Mitarbeiter
M0021,Medizinischer Dienst,Heser,Tomasz,Melanie-Schweitzer-Ring 78,34714,Guben,05812236231,vladeck@example.net,Mitarbeiter
M0022,Medizinischer Dienst,Liebelt,Vladimir,Harro-Linke-Straße 6,96705,Worbis,0688937346,ybaum@example.com,Mitarbeiter
M0023,Hauswirtschaft,Stiebitz,Grazyna,Ullrichplatz 69,29806,Borken,(06272) 04653,vjunken@example.com,Mitarbeiter
M0024,Pflege,Weller,Karl-Hans,Herrmannallee 49,70805,Stadtroda,+49(0)0033 092327,rosetrudi@example.org,Mitarbeiter
M0025,Pflege,Thies,Vittorio,Wilmsring 71,99124,Rosenheim,+49(0)4966319314,rosemannlieschen@example.org,Mitarbeiter
M0026,Medizinischer Dienst,Reichmann,Nick,Speerring 81,85067,Mallersdorf,07262849877,lwagenknecht@example.com,Mitarbeiter
M0027,Medizinischer Dienst,Henschel,Mariusz,Karl-Heinz-Mende-Platz 74,99650,Hildesheim,+49 (0) 7354 549480,detlevhendriks@example.net,Mitarbeiter
M0028,Verwaltung,Niemeier,Rudolf,Helene-Mülichen-Allee 91,70143,Ueckermünde,+49(0) 495788568,nikolai74@example.com,Mitarbeiter
M0029,Pflege,Heinrich,Jan-Peter,Irmtraud-Gröttner-Ring 6,82337,Wernigerode,(08941) 343524,trommlerantoinette@example.org,Mitarbeiter
M0030,Verwaltung,Bien,Kamil,Birgitta-Hornich-Allee 99,71094,Neubrandenburg,05204 711671,flantzgeorge@example.net,Mitarbeiter
M0031,Medizinischer Dienst,Jähn,Türkan,Iwan-Drubin-Weg 11,99938,Meppen,04964 990913,josefspeer@example.org,Mitarbeiter
M0032,Verwaltung,Henck,Gerwin,Birgid-Bruder-Platz 13,67974,Gelnhausen,+49(0)4713 49361,friederickefischer@example.com,Mitarbeiter
M0033,Hauswirtschaft,Faust,Marija,Bruno-Gehringer-Ring 36,71746,Nördlingen,07719 06594,conradiheribert@example.net,Mitarbeiter
M0034,Hauswirtschaft,Ruppert,Mary,Kornelia-Steinberg-Ring 82,27874,Rothenburg ob der Tauber,0717565512,samir74@example.net,Mitarbeiter
M0035,Medizinischer Dienst,Kühnert,Traude,Uli-Cichorius-Ring 21,51680,Lübben,+49(0)3859770348,susannhoevel@example.com,Mitarbeiter
M0036,Medizinischer Dienst,Thanel,Raisa,Eberhardtgasse 46,24808,Bremervörde,+49(0) 171274846,pmude@example.com,Mitarbeiter
M0037,Verwaltung,Fiebig,Bianca,Grein Grothstr. 86,14658,Ahaus,+49(0)4997 27875,birgid86@example.com,Mitarbeiter
M0038,Medizinischer Dienst,Jungfer,Sybilla,Hertha-Henck-Weg 90,36057,Kusel,(02702) 89517,putzsibylle@example.com,Mitarbeiter
M0039,Pflege,Ullmann,Alexandros,Sahin-Sölzer-Platz 78,74596,Hohenmölsen,(08657) 80913,henry16@example.org,Mitarbeiter
M0040,Verwaltung,Schulz,Kirsten,Tibor-Geisel-Allee 69,00504,Kleve,0238692221,rscholl@example.org,Mitarbeiter
M0041,Verwaltung,Säuberlich,Alena,Hinrich-Misicher-Allee 21,74074,Bersenbrück,05946 474367,hellwigralf-dieter@example.net,Mitarbeiter
M0042,Hauswirtschaft,Ruppert,Oscar,Thiesring 49,64090,Gütersloh,+49(0) 953394210,lioba70@example.net,Mitarbeiter
M0043,Medizinischer Dienst,Wagenknecht,Ottomar,Dimitri-Hübel-Ring 82,23285,Eckernförde,+49(0)7451 71236,dimitri60@example.com,Mitarbeiter
M0044,Verwaltung,Ebert,Apollonia,Kochweg 88,96513,Aue,(08593) 174612,benderleif@example.com,Mitarbeiter
M0045,Medizinischer Dienst,Dietz,Erhardt,Reni-Renner-Platz 99,75869,Lübeck,(01796) 40537,xheinz@example.org,Mitarbeiter
M0046,Pflege,Koch,Heide-Marie,Bolanderstraße 30,31713,Badibling,03293183933,lea29@example.org,Mitarbeiter
M0047,Pflege,Fiebig,Karl-Friedrich,Aynur-Hermann-Platz 41,02053,Apolda,+49 (0) 4026 811775,mentzelalmuth@example.org,Mitarbeiter
M0048,Hauswirtschaft,Schmiedecke,Traudel,Iwona-Ziegert-Allee 35,70076,Torgau,+49(0)7711 592124,ralf98@example.com,Mitarbeiter
M0049,Pflege,Pärtzelt,Udo,Dippelallee 28,83673,Höxter,06615 654527,conradimarlen@example.org,Mitarbeiter
M0050,Medizinischer Dienst,Löwer,Dogan,Julia-Warmer-Ring 28,80988,Stuttgart,+49(0)6560 494519,gernotsontag@example.com,Mitarbeiter
M0051,Hauswirtschaft,Dörr,Helmut,Röhrichtring 51,49368,Schmölln,(04024) 45502,carolinsontag@example.com,Mitarbeiter
M0052,Hauswirtschaft,Faust,Christof,Dirk-Weinhold-Weg 19,66752,Heinsberg,09910229014,bspeer@example.com,Mitarbeiter
M0053,Medizinischer Dienst,Margraf,Edit,Heydrichplatz 18,56149,Passau,(04036) 90034,kristianeetzler@example.com,Mitarbeiter
M0054,Verwaltung,Junken,Klaas,Ahmet-Oestrovsky-Allee 96,22683,Bernburg,0060715969,otroest@example.com,Mitarbeiter
M0055,Medizinischer Dienst,Drewes,Klaas,Bärerring 96,97516,Gifhorn,0968164535,corneliuspergande@example.net,Mitarbeiter
M0056,Hauswirtschaft,Radisch,Ercan,Selma-Wulf-Ring 75,23124,Einbeck,(02127) 799799,nicole52@example.com,Mitarbeiter
M0057,Hauswirtschaft,Möchlichen,Cetin,Schülerring 47,90581,Moers,00054 119986,jsalz@example.net,Mitarbeiter
M0058,Verwaltung,Berger,Rosi,Rudolphweg 18,59782,Meppen,+49(0)5182 037788,ottokoehler@example.com,Mitarbeiter
M0059,Hauswirtschaft,Lange,Reimer,Stiebitzstr. 12,51518,Güstrow,+49(0)9251 92546,dianetrommler@example.org,Mitarbeiter
M0060,Pflege,Römer,Lorenzo,Seifertallee 15,28168,Arnstadt,04235733221,michaela18@example.net,Mitarbeiter
M0061,Verwaltung,Warmer,Martina,Gesine-Kallert-Weg 81,96222,Werdau,00653 794738,lorenzziegert@example.com,Mitarbeiter
M0062,Verwaltung,Gude,Sara,Stiebitzstr. 88,74688,Ebersberg,+49(0) 924075818,hoelzenbecherdenis@example.org,Mitarbeiter
M0063,Hauswirtschaft,Mende,Jörn,Marjan-Mälzer-Gasse 77,75060,Nürtingen,03615305152,arnimhoerle@example.com,Mitarbeiter
M0064,Pflege,Etzold,Herma,Meisterstr. 50,10432,Calau,+49(0)3410 36971,ortmanndolores@example.net,Mitarbeiter
